,count,mean,std,min,25%,50%,75%,max
ROA_C,6819.0,0.5051796332417815,0.06068563875428438,0.0,0.476527080388047,0.502705601325988,0.535562813825379,1.0
ROA_B,6819.0,0.5535887093516657,0.061594809291875684,0.0,0.527276620804112,0.552277959205525,0.584105144815033,1.0
Operating_Gross_Margin,6819.0,0.6079480383703836,0.016933812548221468,0.0,0.6004446590466855,0.605997492036495,0.613914152697502,1.0
Realized_Sales_Gross_Margin,6819.0,0.6079294691769791,0.016916070055675792,0.0,0.600433848859165,0.605975871661454,0.6138420847806975,1.0
Operating_Profit_Rate,6819.0,0.9987551277900442,0.01301002509298413,0.0,0.998969203197885,0.999022239374566,0.999094514164357,1.0
Pretax_Net_Interest_Rate,6819.0,0.7971897524712905,0.012868988419884656,0.0,0.797385863236893,0.797463610578231,0.797578848185589,1.0
Aftertax_Net_Interest_Rate,6819.0,0.8090835935135348,0.013600653945149043,0.0,0.809311597146491,0.809375198550956,0.809469266134837,1.0
Net_Income_to_Total_Assets,6819.0,0.8077602200365486,0.040332191531426184,0.0,0.7967498491931705,0.810619042075101,0.8264545295408715,1.0
Gross_Profit_to_Sales,6819.0,0.607946340270717,0.016933807795673626,0.0,0.6004428952063054,0.605998288167218,0.613913271038147,1.0
Net_Income_to_Equity,6819.0,0.8404020646301005,0.014522526082524972,0.0,0.8401148040637195,0.841178760250192,0.8423569700412374,1.0
Debt_to_NetWorth,6819.0,4416336.714259365,168406905.28151137,0.0,0.0030070491250148,0.005546284390702,0.00927329266179695,9940000000.0
Debt_Ratio,6819.0,0.11317708497306007,0.053920306063082755,0.0,0.0728905281615624,0.111406717658796,0.148804305106267,1.0
NetWorth_to_Assets,6819.0,0.8868229150269401,0.053920306063082714,0.0,0.8511956948937329,0.888593282341204,0.927109471838438,1.0
Current_Liability_to_Assets,6819.0,0.0906727945676238,0.05028985666891828,0.0,0.0533012764320206,0.0827047949822228,0.1195229934695275,1.0
Current_Liabilities_to_Equity,6819.0,0.33140980061698827,0.013488027908897839,0.0,0.328095841686878,0.329685133135929,0.332322404809702,1.0
LT_Liability_to_Current_Assets,6819.0,54160038.13589435,570270621.9592273,0.0,0.0,0.0019746187761809,0.009005945944256601,9540000000.0
Current_Liability_to_Equity,6819.0,0.33140980061698827,0.013488027908897839,0.0,0.328095841686878,0.329685133135929,0.332322404809702,1.0
Liability_to_Equity,6819.0,0.2803651538333931,0.014463223575594016,0.0,0.276944242646329,0.278777583629637,0.2814491856088265,1.0
Equity_to_Liability,6819.0,0.047578356529497656,0.05001371618013793,0.0,0.024476693570910098,0.0337976972031022,0.052837817459331596,1.0
Borrowing_Dependency,6819.0,0.37465429459872324,0.01628616335550086,0.0,0.3701678435547765,0.372624322553083,0.3762707372009225,1.0
Contingent_Liabilities_to_NetWorth,6819.0,0.0059682772664790325,0.01218836187585852,0.0,0.0053658477137564,0.0053658477137564,0.00576435604952715,1.0
DFL,6819.0,0.027541119421203627,0.01566794186642957,0.0,0.0267911566924924,0.0268081258982465,0.026913184214613348,1.0
Interest_Coverage_Ratio,6819.0,0.5653579335465574,0.013214239761962015,0.0,0.565158395757604,0.565251928758969,0.565724709506105,1.0
Current_Ratio,6819.0,403284.954244977,33302155.82548018,0.0,0.00755504663011965,0.0105871744549939,0.0162695280201934,2750000000.0
Quick_Ratio,6819.0,8376594.819684891,244684748.4468722,0.0,0.004725903227376101,0.0074124720675444,0.01224910697241505,9230000000.0
Quick_Assets_to_Current_Liability,6819.0,3592902.1968296515,171620908.60682204,0.0,0.00523977582664085,0.0079088979804512,0.0129509103075746,8820000000.0
Cash_to_Current_Liability,6819.0,37159994.147133335,510350903.16273266,0.0,0.0019730075415488497,0.0049038864700734,0.0128055731079178,9650000000.0
Cash_to_Total_Assets,6819.0,0.12409456048965214,0.13925058358332654,0.0,0.03354322123979425,0.0748874639354301,0.1610731518633315,1.0
Current_Assets_to_Total_Assets,6819.0,0.5222734467680338,0.21811182151419325,0.0,0.35284541721511353,0.514829793890847,0.6890506806831516,1.0
Quick_Assets_to_Total_Assets,6819.0,0.4001318123650569,0.2019980666806821,0.0,0.24197285659394002,0.386450924981744,0.540593673285078,1.0
Working_Capital_to_Total_Assets,6819.0,0.814125170261333,0.059054402648263365,0.0,0.774308962762401,0.81027522898466,0.8503828485419616,1.0
Current_Liability_to_Current_Assets,6819.0,0.031506365747440736,0.03084468845356384,0.0,0.018033665707965,0.0275971428517009,0.0383746158541899,1.0
Total_Asset_Turnover,6819.0,0.14160561602172958,0.10114496849292293,0.0,0.0764617691154423,0.118440779610195,0.176911544227886,1.0
Accounts_Receivable_Turnover,6819.0,12789705.237553563,278259836.9840534,0.0,0.0007101336065656,0.0009678106580909,0.0014547594168788,9740000000.0
Average_Collection_Days,6819.0,9826220.861191595,256358895.70533204,0.0,0.0043865304397204,0.0065725374332349,0.00897287558119175,9730000000.0
Inventory_Turnover,6819.0,2149106056.607619,3247967014.0479045,0.0,0.0001728255554827,0.0007646742653862,4620000000.0,9990000000.0
Fixed_Assets_Turnover,6819.0,1008595981.8175156,2477557316.9201717,0.0,0.0002330013064716,0.000593094234655,0.0036523711287173,9990000000.0
NetWorth_Turnover,6819.0,0.038595054614951586,0.036680343560413456,0.0,0.0217741935483871,0.0295161290322581,0.0429032258064516,1.0
Current_Asset_Turnover_Rate,6819.0,1195855763.3089354,2821161238.2624574,0.0,0.00014562362973865,0.0001987815566631,0.0004525945407579,10000000000.0
Quick_Asset_Turnover_Rate,6819.0,2163735272.034426,3374944402.1661186,0.0,0.00014171486236355001,0.0002247727878357,4900000000.0,10000000000.0
Working_Capital_Turnover_Rate,6819.0,0.5940062655659162,0.008959384178922208,0.0,0.5939344215587965,0.593962767104877,0.5940023454696105,1.0
Cash_Turnover_Rate,6819.0,2471976967.444318,2938623226.6788096,0.0,0.0002735337396781,1080000000.0,4510000000.0,10000000000.0
Cash_Flow_Rate,6819.0,0.4674311857796612,0.017035517308785393,0.0,0.4615577531181065,0.465079724549793,0.471003917029432,1.0
Cash_Reinvestment,6819.0,0.37967667232266245,0.02073656580961678,0.0,0.37474851905666695,0.380425468499683,0.386731120301032,1.0
CashFlow_to_Sales,6819.0,0.6715307810992098,0.009341345618300599,0.0,0.671565259253275,0.671573958092574,0.671586580417158,1.0
CashFlow_to_Total_Assets,6819.0,0.6497305901792364,0.04737213191450499,0.0,0.633265319013864,0.645366460270721,0.6630618534616091,1.0
CashFlow_to_Liability,6819.0,0.4618492532922571,0.0299426803452448,0.0,0.4571164765642225,0.459750137932885,0.46423584697152853,1.0
CFO_to_Assets,6819.0,0.5934150861096208,0.05856055014224861,0.0,0.5659869401753586,0.593266274083544,0.6247688757833555,1.0
