,Non_Bankrupt_Mean,Bankrupt_Mean,Difference
ROA_C,0.5080692807159637,0.41850334377756016,-0.08956593693840353
ROA_B,0.5566593487742333,0.4614834841265592,-0.09517586464767408
Operating_Gross_Margin,0.6082573405235892,0.5986703796930957,-0.009586960830493485
Realized_Sales_Gross_Margin,0.6082366003840523,0.5987169290157226,-0.009519671368329652
Operating_Profit_Rate,0.9987556736754314,0.9987387537097224,-1.691996570896137e-05
Pretax_Net_Interest_Rate,0.7972097625333621,0.7965895415639713,-0.000620220969390739
Aftertax_Net_Interest_Rate,0.8091055871889746,0.8084238832215956,-0.0006817039673789882
Net_Income_to_Total_Assets,0.8100831300180976,0.738083479271813,-0.07199965074628467
Gross_Profit_to_Sales,0.6082556442026659,0.5986686282392156,-0.00958701596345024
Net_Income_to_Equity,0.8408819416444058,0.8260079354600965,-0.01487400618430923
Debt_to_NetWorth,4037732.997004946,15772727.305904383,11734994.308899436
Debt_Ratio,0.11071438040147158,0.18704702800902576,0.07633264760755418
NetWorth_to_Assets,0.8892856195985285,0.8129529719909743,-0.0763326476075542
Current_Liability_to_Assets,0.0888870143456048,0.1442380840453663,0.055351069699761515
Current_Liabilities_to_Equity,0.33103098724531244,0.3427724798883023,0.011741492642989848
LT_Liability_to_Current_Assets,54078996.824429646,56590909.110237986,2511912.2858083397
Current_Liability_to_Equity,0.33103098724531244,0.3427724798883023,0.011741492642989848
Liability_to_Equity,0.27992466685632783,0.29357776093181887,0.013653094075491035
Equity_to_Liability,0.04833669146541758,0.0248317554288813,-0.02350493603653628
Borrowing_Dependency,0.3741293547263847,0.3904001046785497,0.016270749952164987
Contingent_Liabilities_to_NetWorth,0.005811495822699795,0.01067100793692994,0.004859512114230144
DFL,0.027511059189571033,0.028442789732764984,0.0009317305431939503
Interest_Coverage_Ratio,0.5653712250851181,0.5649592478058245,-0.00041197727929354055
Current_Ratio,416729.8229132025,0.00723761179585026,-416729.8156755907
Quick_Ratio,7257160.1870742105,41954545.45876614,34697385.27169193
Quick_Assets_to_Current_Liability,3712683.7519437457,0.005020995590885837,-3712683.74692275
Cash_to_Current_Liability,29899530.245293964,254940909.0936698,225041378.84837583
Cash_to_Total_Assets,0.12664023276893469,0.047735963348809564,-0.07890426942012513
Current_Assets_to_Total_Assets,0.5240583876554068,0.46873333351451324,-0.05532505414089356
Quick_Assets_to_Total_Assets,0.40331756064879637,0.3045738445268893,-0.09874371612190708
Working_Capital_to_Total_Assets,0.8162069634997344,0.7516808358058247,-0.06452612769390975
Current_Liability_to_Current_Assets,0.030541663029235132,0.06044306228125341,0.029901399252018276
Total_Asset_Turnover,0.1428597718113212,0.10398664304211534,-0.03887312876920586
Accounts_Receivable_Turnover,13031216.85317058,5545454.549114067,-7485762.304056512
Average_Collection_Days,10133050.469789904,622727.2832814403,-9510323.186508464
Inventory_Turnover,2149921927.5658855,2124633636.3639677,-25288291.201917887
Fixed_Assets_Turnover,975657432.9463946,1996602727.2744558,1020945294.3280612
NetWorth_Turnover,0.03845382242666289,0.04283137829912024,0.004377555872457348
Current_Asset_Turnover_Rate,1189711557.8123188,1380154000.0006287,190442442.1883099
Quick_Asset_Turnover_Rate,2147829492.347737,2640836363.6365185,493006871.28878164
Working_Capital_Turnover_Rate,0.5940110002161714,0.5938642475793973,-0.00014675263677410566
Cash_Turnover_Rate,2481653241.5521736,2181732727.2727785,-299920514.2793951
Cash_Flow_Rate,0.46765622986958455,0.4606808860096398,-0.006975343859944749
Cash_Reinvestment,0.3798710637684694,0.37384581254593546,-0.006025251222533945
CashFlow_to_Sales,0.6715299645913345,0.6715552726240712,2.53080327367039e-05
CashFlow_to_Total_Assets,0.6503399574931823,0.6314523406122875,-0.018887616880894798
CashFlow_to_Liability,0.46208500817563725,0.4547776784039607,-0.0073073297716765295
CFO_to_Assets,0.5946487243252321,0.5564115470877161,-0.03823717723751596
CashFlow_to_Equity,0.31572096994008664,0.3114256185935046,-0.004295351346582044
Operating_Funds_to_Liability,0.354322637843127,0.3389912408104705,-0.015331397032656513
