Feature,Missing_Count,Missing_Ratio
Bankrupt,0,0.0
ROA_C,0,0.0
Total_Expense_to_Assets,0,0.0
Total_Income_to_Total_Expense,0,0.0
Retained_Earnings_to_Total_Assets,0,0.0
LT_Liability_to_Current_Assets,0,0.0
Current_Liabilities_to_Equity,0,0.0
Working_Capital_to_Equity,0,0.0
Current_Liabilities_to_Liability,0,0.0
Inventory_to_Current_Liability,0,0.0
Inventory_to_Working_Capital,0,0.0
Operating_Funds_to_Liability,0,0.0
Current_Liability_to_Assets,0,0.0
Cash_to_Current_Liability,0,0.0
Quick_Assets_to_Current_Liability,0,0.0
Cash_to_Total_Assets,0,0.0
Current_Assets_to_Total_Assets,0,0.0
Quick_Assets_to_Total_Assets,0,0.0
Working_Capital_to_Total_Assets,0,0.0
Allocation_Rate_per_Person,0,0.0
Operating_Profit_per_Person,0,0.0
Revenue_per_Person,0,0.0
NetWorth_Turnover,0,0.0
Current_Asset_Turnover_Rate,0,0.0
Quick_Asset_Turnover_Rate,0,0.0
Working_Capital_Turnover_Rate,0,0.0
Liability_Assets_Flag,0,0.0
Net_Income_Flag,0,0.0
Interest_Coverage_Ratio,0,0.0
DFL,0,0.0
Liability_to_Equity,0,0.0
Net_Income_to_Equity,0,0.0
Gross_Profit_to_Sales,0,0.0
No_Credit_Interval,0,0.0
Total_Assets_to_GNP_Price,0,0.0
Net_Income_to_Total_Assets,0,0.0
Current_Liability_to_Current_Assets,0,0.0
Cash_Turnover_Rate,0,0.0
CashFlow_to_Equity,0,0.0
CFO_to_Assets,0,0.0
CashFlow_to_Liability,0,0.0
CashFlow_to_Total_Assets,0,0.0
Equity_to_LT_Liability,0,0.0
Current_Liability_to_Equity,0,0.0
Current_Liability_to_Liability,0,0.0
Fixed_Assets_to_Assets,0,0.0
CashFlow_to_Sales,0,0.0
Fixed_Assets_Turnover,0,0.0
Inventory_Turnover,0,0.0
Average_Collection_Days,0,0.0
R_and_D_Expense_Rate,0,0.0
Revenue_Per_Share,0,0.0
Cash_Flow_Per_Share,0,0.0
Persistent_EPS_Last4Seasons,0,0.0
Net_Value_Per_Share_C,0,0.0
Net_Value_Per_Share_A,0,0.0
Net_Value_Per_Share_B,0,0.0
Tax_Rate_A,0,0.0
Interest_Bearing_Debt_Interest_Rate,0,0.0
Cash_Flow_Rate,0,0.0
Operating_Expense_Rate,0,0.0
Per_Share_NetProfit_BeforeTax,0,0.0
Continuous_Interest_Rate_AfterTax,0,0.0
NonIndustry_Income_Expenditure_Ratio,0,0.0
Aftertax_Net_Interest_Rate,0,0.0
Pretax_Net_Interest_Rate,0,0.0
Operating_Profit_Rate,0,0.0
Realized_Sales_Gross_Margin,0,0.0
Operating_Gross_Margin,0,0.0
ROA_B,0,0.0
ROA(A) before interest and % after tax,0,0.0
Operating_Profit_Per_Share,0,0.0
Realized_Sales_Gross_Profit_Growth_Rate,0,0.0
Accounts_Receivable_Turnover,0,0.0
Debt_to_NetWorth,0,0.0
Total_Asset_Turnover,0,0.0
Inventory_AR_to_NetValue,0,0.0
NetProfit_BeforeTax_to_PaidIn_Capital,0,0.0
Operating_Profit_to_PaidIn_Capital,0,0.0
Contingent_Liabilities_to_NetWorth,0,0.0
Borrowing_Dependency,0,0.0
LT_Fund_Suitability_Ratio,0,0.0
NetWorth_to_Assets,0,0.0
Debt_Ratio,0,0.0
Interest_Expense_Ratio,0,0.0
Operating_Profit_Growth_Rate,0,0.0
Quick_Ratio,0,0.0
Current_Ratio,0,0.0
Cash_Reinvestment,0,0.0
Total_Asset_Return_Growth_Rate_Ratio,0,0.0
Net_Value_Growth_Rate,0,0.0
Total_Asset_Growth_Rate,0,0.0
Continuous_Net_Profit_Growth_Rate,0,0.0
Regular_Net_Profit_Growth_Rate,0,0.0
Aftertax_Net_Profit_Growth_Rate,0,0.0
Equity_to_Liability,0,0.0
