Feature,Outlier_Ratio
DFL,0.22041355037395513
Interest_Coverage_Ratio,0.20838832673412525
Fixed_Assets_Turnover,0.20794837952779
Current_Asset_Turnover_Rate,0.20516204722100015
Total_Asset_Growth_Rate,0.2025223639829887
Interest_Expense_Ratio,0.19973603167619886
CashFlow_to_Liability,0.17773867135943686
No_Credit_Interval,0.1670332893386127
NonIndustry_Income_Expenditure_Ratio,0.1604340812435841
CashFlow_to_Sales,0.15427482035489073
Continuous_Net_Profit_Growth_Rate,0.1528083296671066
Aftertax_Net_Profit_Growth_Rate,0.1514884880481009
Regular_Net_Profit_Growth_Rate,0.15104854084176567
Operating_Profit_Growth_Rate,0.14782226132864057
Inventory_to_Working_Capital,0.1384367209268221
Contingent_Liabilities_to_NetWorth,0.13814342278926528
CashFlow_to_Total_Assets,0.12875788238744684
Operating_Profit_per_Person,0.12846458424989002
Aftertax_Net_Interest_Rate,0.1271447426308843
CashFlow_to_Equity,0.12127877987974776
Realized_Sales_Gross_Profit_Growth_Rate,0.11937234198562839
LT_Fund_Suitability_Ratio,0.11878574571051474
Continuous_Interest_Rate_AfterTax,0.11819914943540108
Total_Assets_to_GNP_Price,0.11687930781639537
Net_Value_Growth_Rate,0.1161460624725033
Pretax_Net_Interest_Rate,0.11335973016571345
Revenue_per_Person,0.10690717113946327
Cash_to_Current_Liability,0.10676052207068486
Operating_Profit_Rate,0.1050007332453439
Allocation_Rate_per_Person,0.10162780466344039
Total_Asset_Return_Growth_Rate_Ratio,0.09884147235665054
Accounts_Receivable_Turnover,0.09664173632497433
Operating_Funds_to_Liability,0.0963484381874175
Retained_Earnings_to_Total_Assets,0.09282886053673559
LT_Liability_to_Current_Assets,0.09092242264261621
Cash_Reinvestment,0.09048247543628098
Quick_Assets_to_Current_Liability,0.0874028449919343
Quick_Ratio,0.08666959964804223
Current_Ratio,0.0863763015104854
Working_Capital_Turnover_Rate,0.08476316175392286
Cash_Flow_Rate,0.08446986361636603
Net_Income_to_Equity,0.08373661827247397
Net_Income_to_Total_Assets,0.08227012758468984
ROA(A) before interest and % after tax,0.08227012758468984
Equity_to_Liability,0.08051033875934888
Cash_Flow_Per_Share,0.07801730459011585
NetWorth_Turnover,0.075230972283326
Per_Share_NetProfit_BeforeTax,0.07493767414576917
Persistent_EPS_Last4Seasons,0.07449772693943393
Cash_to_Total_Assets,0.07273793811409297
Current_Liabilities_to_Equity,0.07039155301363836
Current_Liability_to_Equity,0.07039155301363836
Revenue_Per_Share,0.07009825487608154
NetProfit_BeforeTax_to_PaidIn_Capital,0.06980495673852471
Net_Value_Per_Share_C,0.06819181698196217
Net_Value_Per_Share_A,0.06804516791318375
Total_Income_to_Total_Expense,0.06789851884440534
Net_Value_Per_Share_B,0.06701862443173486
Operating_Profit_to_PaidIn_Capital,0.0654054846751723
Operating_Profit_Per_Share,0.06481888840005866
ROA_B,0.06335239771227452
Inventory_to_Current_Liability,0.06247250329960405
Inventory_AR_to_NetValue,0.06173925795571198
Debt_to_NetWorth,0.059686170992814196
Equity_to_LT_Liability,0.05953952192403578
Liability_to_Equity,0.05924622378647896
Interest_Bearing_Debt_Interest_Rate,0.05807303123625165
ROA_C,0.057339785892359586
Total_Expense_to_Assets,0.05455345358556973
Total_Asset_Turnover,0.051473823141223056
CFO_to_Assets,0.05015398152221733
Borrowing_Dependency,0.047074351077870655
Operating_Gross_Margin,0.04692770200909224
Gross_Profit_to_Sales,0.04692770200909224
Realized_Sales_Gross_Margin,0.04663440387153542
Current_Liability_to_Current_Assets,0.040475142982842056
Average_Collection_Days,0.02830327027423376
R_and_D_Expense_Rate,0.026690130517671214
Working_Capital_to_Equity,0.02243730752309723
Tax_Rate_A,0.01759788825340959
Current_Liability_to_Assets,0.01393166153394926
Working_Capital_to_Total_Assets,0.010998680158380994
Fixed_Assets_to_Assets,0.009092242264261622
Current_Liability_to_Liability,0.00586596275113653
Current_Liabilities_to_Liability,0.00586596275113653
NetWorth_to_Assets,0.004399472063352398
Debt_Ratio,0.004399472063352398
Liability_Assets_Flag,0.001173192550227306
Quick_Assets_to_Total_Assets,0.0002932981375568265
Current_Assets_to_Total_Assets,0.0
Cash_Turnover_Rate,0.0
Operating_Expense_Rate,0.0
Quick_Asset_Turnover_Rate,0.0
Net_Income_Flag,0.0
Inventory_Turnover,0.0
