Feature,Correlation_with_Target
Debt_Ratio,0.2501609620666178
Current_Liability_to_Assets,0.19449443585543952
Borrowing_Dependency,0.17654293616159944
Current_Liability_to_Current_Assets,0.17130604352180526
Liability_to_Equity,0.166812097781114
Current_Liability_to_Equity,0.15382836190696916
Current_Liabilities_to_Equity,0.15382836190696916
Cash_to_Current_Liability,0.07792109615933368
Fixed_Assets_Turnover,0.07281826419734336
Contingent_Liabilities_to_NetWorth,0.07045452479008069
Quick_Asset_Turnover_Rate,0.02581356043624226
Quick_Ratio,0.025058288749528465
NetWorth_Turnover,0.02108918827486221
Debt_to_NetWorth,0.012313586033482628
Current_Asset_Turnover_Rate,0.011928817515383711
DFL,0.010508480963374325
LT_Liability_to_Current_Assets,0.0007783681055204784
CashFlow_to_Sales,0.00047875189690568543
Operating_Profit_Rate,-0.00022981739906377543
Inventory_Turnover,-0.0013758447622994141
Current_Ratio,-0.0022112802459893846
Working_Capital_Turnover_Rate,-0.0028944717453847258
Quick_Assets_to_Current_Liability,-0.0038227801375323154
Accounts_Receivable_Turnover,-0.004753867439623138
Interest_Coverage_Ratio,-0.005509252071535874
Average_Collection_Days,-0.006555539589374333
Pretax_Net_Interest_Rate,-0.008516547957069789
Aftertax_Net_Interest_Rate,-0.008857223259656878
Cash_Turnover_Rate,-0.018035318909016704
CashFlow_to_Liability,-0.043125048245355305
Current_Assets_to_Total_Assets,-0.044823338873605637
Cash_Reinvestment,-0.05134520428383567
CashFlow_to_Equity,-0.0585632741577555
Total_Asset_Turnover,-0.06791516723426944
CashFlow_to_Total_Assets,-0.07045564511949381
Cash_Flow_Rate,-0.07235555123147845
Operating_Funds_to_Liability,-0.0770819609181765
Equity_to_Liability,-0.08304844581454017
Quick_Assets_to_Total_Assets,-0.08638211148025537
Realized_Sales_Gross_Margin,-0.0994452495886156
Operating_Gross_Margin,-0.10004324405173083
Gross_Profit_to_Sales,-0.10004384746089862
Cash_to_Total_Assets,-0.10013018994632492
CFO_to_Assets,-0.11538310904200476
Net_Income_to_Equity,-0.18098698840395125
Working_Capital_to_Total_Assets,-0.19308337582413446
NetWorth_to_Assets,-0.2501609620666194
ROA_C,-0.2608065575202611
ROA_B,-0.27305131786329306
Net_Income_to_Total_Assets,-0.31545697161429925
