Top_Positive_Features,Top_Positive_Correlation,Top_Negative_Features,Top_Negative_Correlation
Debt_Ratio,0.2501609620666178,Net_Income_to_Total_Assets,-0.31545697161429925
Current_Liability_to_Assets,0.19449443585543952,ROA_B,-0.27305131786329306
Borrowing_Dependency,0.17654293616159944,ROA_C,-0.2608065575202611
Current_Liability_to_Current_Assets,0.17130604352180526,NetWorth_to_Assets,-0.2501609620666194
Liability_to_Equity,0.166812097781114,Working_Capital_to_Total_Assets,-0.19308337582413446
Current_Liability_to_Equity,0.15382836190696916,Net_Income_to_Equity,-0.18098698840395125
Current_Liabilities_to_Equity,0.15382836190696916,CFO_to_Assets,-0.11538310904200476
Cash_to_Current_Liability,0.07792109615933368,Cash_to_Total_Assets,-0.10013018994632492
Fixed_Assets_Turnover,0.07281826419734336,Gross_Profit_to_Sales,-0.10004384746089862
Contingent_Liabilities_to_NetWorth,0.07045452479008069,Operating_Gross_Margin,-0.10004324405173083
